9/4/2013 9:34:06 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:40:18 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:46:37 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:46:40 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:47:19 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:47:22 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:55:39 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:00:18 PM,77,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:00:23 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:00:26 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:00:26 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:00:31 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:31:07 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:34:31 PM,77,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:34:36 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:34:38 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:34:38 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:34:42 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:43:58 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:44:06 PM,77,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:44:11 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:44:13 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:44:13 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:44:18 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:46:08 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:48:09 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:49:06 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:49:18 PM,77,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:49:23 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:49:25 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:49:25 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 10:49:30 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:44:51 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:45:05 PM,77,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:45:10 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:45:12 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:45:12 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:45:24 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:46:06 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:48:21 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:48:28 PM,77,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:48:33 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:48:35 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:48:35 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:48:40 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:49:16 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:49:31 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:49:42 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:49:44 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:49:44 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:50:24 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:51:03 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:51:05 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:51:05 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:51:18 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:52:28 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:52:36 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:53:14 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:01 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:06 PM,77,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:12 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:14 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:14 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:24 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:34 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:41 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:49 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 11:56:55 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:08:03 AM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:08:10 AM,77,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:08:14 AM,205,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:08:19 AM,19,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:08:23 AM,188,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:08:27 AM,76,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:10:09 AM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:10:19 AM,76,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:10:22 AM,184,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:10:33 AM,184,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:10:52 AM,95,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:10:59 AM,23,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:09 AM,23,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:14 AM,23,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:21 AM,23,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:27 AM,19,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:29 AM,188,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:34 AM,83,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:37 AM,95,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:41 AM,78,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:44 AM,113,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:45 AM,113,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:47 AM,113,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:49 AM,113,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/22/2013 1:11:51 AM,113,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
